,address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct,lon,lat
1084539,"Store Strandstræde 6, 2",1255 København K,7900000,1992-12-23,Alm. Salg,54482.0,5.0,Lejlighed,145.0,1700.0,0.0,12.588284,55.680917
1084540,"Overgaden Neden Vandet 39, 2. TH",1414 København K,982000,1992-12-07,Alm. Salg,7064.0,4.0,Lejlighed,139.0,1777.0,0.0,12.591762,55.673425
1084541,"Ole Suhrs Gade 14, 3. TV",1354 København K,670000,1992-12-03,Alm. Salg,4855.0,5.0,Lejlighed,138.0,1885.0,0.0,12.571833,55.689531
1084542,"Burmeistersgade 9, 5. TV",1429 København K,299000,1992-12-03,Alm. Salg,6795.0,2.0,Lejlighed,44.0,1901.0,0.0,12.598289,55.675441
1084543,"Store Kongensgade 110A, 3. TH",1264 København K,900000,1992-11-30,Alm. Salg,10112.0,2.0,Lejlighed,89.0,1804.0,0.0,12.590268,55.687003
1084544,"Adelgade 47, 3. MF",1304 København K,107000,1992-11-23,Auktion,2018.0,2.0,Lejlighed,53.0,1957.0,0.0,12.584333,55.685203
1084545,"Sølvgade 15, 1. TV",1307 København K,212500,1992-11-20,Andet,2623.0,3.0,Lejlighed,81.0,1957.0,0.0,12.584512,55.685614
1084546,"Kompagnistræde 3, ST. 2",1208 København K,315000,1992-11-17,Alm. Salg,4846.0,3.0,Lejlighed,65.0,1796.0,0.0,12.576699,55.67761
1084547,"Dronningensgade 59, 2. TV",1420 København K,415000,1992-11-15,Alm. Salg,6803.0,2.0,Lejlighed,61.0,1938.0,0.0,12.593511,55.673059
1084548,"Sølvgade 22, ST. TH",1307 København K,1000000,1992-11-09,Alm. Salg,5813.0,7.0,Lejlighed,172.0,1825.0,0.0,12.582494,55.686487
1084549,"Kronprinsessegade 49, 1",1306 København K,958000,1992-10-22,Alm. Salg,7664.0,5.0,Lejlighed,125.0,1882.0,0.0,12.585167,55.688122
1084550,"Grønningen 7, 1. TV",1270 København K,710000,1992-09-10,Alm. Salg,9594.0,2.0,Lejlighed,74.0,1939.0,0.0,12.591616,55.688319
1084551,"Studiestræde 12, 3. TH",1455 København K,580000,1992-09-07,Alm. Salg,7631.0,3.0,Lejlighed,76.0,1799.0,0.0,12.570034,55.678893
1084552,"Wildersgade 60B, 1. TV",1408 København K,307617,1992-08-28,Alm. Salg,3307.0,2.0,Lejlighed,93.0,1802.0,0.0,12.592338999999999,55.674352
1084553,"Hauser Plads 18, 4",1127 København K,3000000,1992-07-31,Alm. Salg,13157.0,5.0,Lejlighed,228.0,1839.0,0.0,12.576073,55.682941
1084554,"Havnegade 33, 2. TH",1058 København K,950000,1992-07-30,Alm. Salg,10555.0,2.0,Lejlighed,90.0,1870.0,0.0,12.589356,55.676883
1084555,"Ved Volden 12, 2. TV",1425 København K,574000,1992-07-29,Alm. Salg,5797.0,4.0,Lejlighed,99.0,1938.0,0.0,12.595035,55.67174
1084556,"Esplanaden 24, 3. TV",1263 København K,306000,1992-07-28,Andet,2615.0,4.0,Lejlighed,117.0,1876.0,0.0,12.593512,55.687578
1084557,"Esplanaden 24, 4. TV",1263 København K,306000,1992-07-28,Andet,2615.0,4.0,Lejlighed,117.0,1876.0,0.0,12.593512,55.687578
1084558,"Ved Volden 8, 5. TH",1425 København K,540000,1992-07-22,Alm. Salg,5934.0,3.0,Lejlighed,91.0,1938.0,0.0,12.594053,55.67202
1084559,"Dronningensgade 13, ST",1420 København K,965000,1992-07-08,Fam. Salg,10489.0,5.0,Lejlighed,92.0,1750.0,0.0,12.589619,55.670682
1084560,"Ole Suhrs Gade 18, 3. TV",1354 København K,629250,1992-07-07,Alm. Salg,4526.0,5.0,Lejlighed,139.0,1885.0,0.0,12.571261,55.689792
1084561,"Christianshavns Voldgade 1, ST. TH",1424 København K,433372,1992-06-30,Fam. Salg,5702.0,3.0,Lejlighed,76.0,1894.0,0.0,12.587664,55.670068
1084562,"Hammerensgade 3, 5. TH",1267 København K,1300000,1992-06-23,Alm. Salg,6403.0,4.0,Lejlighed,203.0,1925.0,0.0,12.590586,55.688514
1084563,"Store Kongensgade 116, 3. TV",1264 København K,1637000,1992-06-20,Alm. Salg,6131.0,6.0,Lejlighed,267.0,1908.0,0.0,12.590415,55.687529
1084564,"Studiestræde 12A, 4",1455 København K,810000,1992-06-19,Alm. Salg,6639.0,3.0,Lejlighed,122.0,1799.0,0.0,12.569959,55.679056
1084565,"Læderstræde 7, 1",1201 København K,650000,1992-06-10,Alm. Salg,7142.0,3.0,Lejlighed,91.0,1796.0,0.0,12.578429,55.678173
1084566,"Frederiksgade 6, 4. TH",1265 København K,835000,1992-05-26,Alm. Salg,6139.0,5.0,Lejlighed,136.0,1885.0,0.0,12.58869,55.684738
1084567,"Toldbodgade 38C, 3. MF",1253 København K,900000,1992-05-11,Alm. Salg,14516.0,2.0,Lejlighed,62.0,1778.0,0.0,12.596992,55.685755
1084568,"Pilestræde 55, 4. TH",1112 København K,800000,1992-05-04,Alm. Salg,9756.0,2.0,Lejlighed,82.0,1991.0,0.0,12.578256,55.681584
1084569,"Borgergade 26, 4. 6",1300 København K,310000,1992-04-29,Alm. Salg,7045.0,1.0,Lejlighed,44.0,1974.0,0.0,12.5865118,55.6850525
1084570,"Christianshavns Kanal 4, 5",1406 København K,6000000,1992-03-17,Alm. Salg,23166.0,5.0,Lejlighed,259.0,1736.0,0.0,12.592714,55.675362
1084571,"Nansensgade 64, 4. TV",1366 København K,555000,1992-03-15,Alm. Salg,7115.0,3.0,Lejlighed,78.0,1888.0,0.0,12.565460999999999,55.683614
1084572,"Ved Volden 13, 5. TH",1425 København K,1400000,1992-03-10,Alm. Salg,8139.0,6.0,Lejlighed,172.0,1938.0,0.0,12.595235,55.671635
1084573,"Nyhavn 38, 1. TV",1051 København K,600000,1992-02-28,Alm. Salg,5405.0,2.0,Lejlighed,111.0,1880.0,0.0,12.591489,55.679262
1084574,"Andreas Bjørns Gade 22, 3. TV",1428 København K,289000,1992-02-26,Alm. Salg,5351.0,2.0,Lejlighed,54.0,1901.0,0.0,12.598423,55.676045
1084575,"Frederiksgade 6, ST. TH",1265 København K,740000,1992-02-21,Alm. Salg,5034.0,4.0,Lejlighed,147.0,1885.0,0.0,12.58869,55.684738
1084576,"Sølvgade 32, ST",1307 København K,28400000,1992-02-19,Alm. Salg,405714.0,3.0,Lejlighed,70.0,1899.0,0.0,12.581168,55.686851
1084577,"Wildersgade 46A, 1",1408 København K,630000,1992-02-05,Alm. Salg,7590.0,2.0,Lejlighed,83.0,1698.0,0.0,12.591039,55.673484
