,address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct,lon,lat
104193,"Odensegade 33, 3",8000 Aarhus C,550000,1992-12-23,Alm. Salg,7971.0,3.0,Lejlighed,69.0,1901.0,0.0,10.201535,56.145117
104194,"Skovvejen 44B, 2. TV",8000 Aarhus C,480000,1992-12-22,Alm. Salg,7868.0,2.0,Lejlighed,61.0,1936.0,0.0,10.218809,56.167951
104195,"Falstersgade 41B, 1. TH",8000 Aarhus C,725700,1992-12-15,Alm. Salg,6657.0,4.0,Lejlighed,109.0,1968.0,0.0,10.198709,56.163906
104196,"Sjællandsgade 83, 3. TV",8000 Aarhus C,361626,1992-12-13,Alm. Salg,8036.0,2.0,Lejlighed,45.0,1886.0,0.0,10.205327,56.162894
104197,Kriegersvej 9,8000 Aarhus C,793000,1992-12-12,Alm. Salg,7080.0,5.0,Rækkehus,112.0,1880.0,0.0,10.19954,56.1498
104198,"Ålborggade 3, 2. TV",8000 Aarhus C,510000,1992-11-26,Alm. Salg,7727.0,2.0,Lejlighed,66.0,1930.0,0.0,10.194845,56.143223
104199,"Dalgas Avenue 21, 4",8000 Aarhus C,840000,1992-11-24,Alm. Salg,4883.0,5.0,Lejlighed,172.0,1922.0,0.0,10.2018,56.143187
104200,Strandvejen 50,8000 Aarhus C,1246650,1992-11-17,Alm. Salg,6812.0,7.0,Villa,183.0,1952.0,0.0,10.206807,56.141076
104201,Emil Aarestrups Vej 22,8000 Aarhus C,434151,1992-11-16,Andet,,6.0,Rækkehus,142.0,1925.0,0.0,10.19365,56.166875
104202,H.C. Lumbyes Vej 9,8000 Aarhus C,1700000,1992-11-11,Alm. Salg,11486.0,5.0,Villa,148.0,1930.0,0.0,10.212133,56.127186
104203,"Skt. Pauls Gade 47, ST. TH",8000 Aarhus C,403000,1992-10-20,Alm. Salg,7603.0,2.0,Lejlighed,53.0,1928.0,0.0,,
104204,"Vesterbrogade 11, 1. 5",8000 Aarhus C,479000,1992-10-09,Alm. Salg,7484.0,2.0,Lejlighed,64.0,1984.0,0.0,10.196739,56.15782
104205,Strandvejen 128,8000 Aarhus C,1600000,1992-10-07,Alm. Salg,6153.0,8.0,Villa,260.0,1920.0,0.0,10.212761,56.128425
104206,"Langenæs Allé 43, 2. MF",8000 Aarhus C,456000,1992-10-07,Alm. Salg,,2.0,Lejlighed,58.0,1968.0,0.0,10.181825,56.141335
104207,Marselisvej 21,8000 Aarhus C,1650000,1992-09-09,Alm. Salg,6600.0,9.0,Villa,250.0,1913.0,0.0,10.203307,56.139479
104208,"Samsøgade 46, ST",8000 Aarhus C,560000,1992-09-04,Alm. Salg,5894.0,4.0,Lejlighed,95.0,1907.0,0.0,10.201674,56.162467
104209,Sølystgade 15,8000 Aarhus C,350000,1992-08-28,Alm. Salg,2916.0,6.0,Villa,120.0,1884.0,0.0,10.206421,56.162775
104210,"Kystvejen 45, 1",8000 Aarhus C,637000,1992-08-26,Alm. Salg,,5.0,Lejlighed,167.0,1891.0,0.0,10.214607,56.160885
104211,"Skovvejen 44E, 3. TV",8000 Aarhus C,630000,1992-08-24,Alm. Salg,7241.0,4.0,Lejlighed,87.0,1936.0,0.0,10.219359,56.167882
104212,"J. Michaelsens Gade 8, 3. TV",8000 Aarhus C,780000,1992-08-19,Alm. Salg,7155.0,4.0,Lejlighed,109.0,1911.0,0.0,10.202532,56.143733
104213,"Vestervang 8, 4. 845",8000 Aarhus C,560000,1992-08-10,Alm. Salg,7466.0,3.0,Lejlighed,75.0,1970.0,0.0,10.194457,56.162123
104214,"Hans Broges Gade 8, 2. TH",8000 Aarhus C,583000,1992-08-03,Alm. Salg,6858.0,3.0,Lejlighed,85.0,1905.0,0.0,10.204159,56.144
